2026-03-05 20:48:46 | INFO    | app.vision                   | analyze_image — 5775563 bytes
2026-03-05 20:48:50 | INFO    | app.vision                   | vectorize_image — 5775563 bytes
2026-03-05 20:48:56 | INFO    | app.vision                   | analyze_image OK (9659 ms) — caption='a blue sign with white text', 6 tags, 0 objects
2026-03-05 20:48:57 | INFO    | app.vision                   | vectorize_image OK (6593 ms) — 1024-d vector
2026-03-05 20:48:57 | INFO    | app.upload                   |   [nick-fewings-C2zhShTnl5I-unsplash.jpg] Blob upload  OK — original=https://movistar.blob.core.windows.net/originals/37f7f1641b694fea897633fcc732645…
2026-03-05 20:48:57 | INFO    | app.upload                   |   [nick-fewings-C2zhShTnl5I-unsplash.jpg] Vision analysis OK — caption='a blue sign with white text', tags=['text', 'screenshot', 'font', 'electric blue', 'line', 'colorfulness'], objects=[]
2026-03-05 20:48:57 | INFO    | app.upload                   |   [nick-fewings-C2zhShTnl5I-unsplash.jpg] Image vector  OK — 1024-d
2026-03-05 20:48:57 | INFO    | app.upload                   |   [nick-fewings-C2zhShTnl5I-unsplash.jpg] Generating OpenAI text embedding for: 'a blue sign with white text. Tags: text, screenshot, font, electric blue, line, colorfulness'
2026-03-05 20:48:57 | INFO    | app.openai_embeddings        | embed_text — 'a blue sign with white text. Tags: text, screenshot, font, electric blue, line, colorfulness'
2026-03-05 20:48:57 | INFO    | app.openai_embeddings        | embed_text OK (338 ms) — 3072-d vector
2026-03-05 20:48:57 | INFO    | app.upload                   |   [nick-fewings-C2zhShTnl5I-unsplash.jpg] Text vector   OK — 3072-d
2026-03-05 20:48:58 | INFO    | app.upload                   |   [nick-fewings-C2zhShTnl5I-unsplash.jpg] ✓ Indexed OK (12302 ms total)
2026-03-05 20:48:58 | INFO    | app.upload                   |   [matt-nelson-cTyVIvzQslE-unsplash.jpg] id=637b5132f59048dfb182ecfd293d4b8b  size=1338033 bytes  type=image/jpeg
2026-03-05 20:48:58 | INFO    | app.upload                   |   [matt-nelson-cTyVIvzQslE-unsplash.jpg] Thumbnail OK — 10748 bytes, 3601x3601
2026-03-05 20:48:58 | INFO    | app.upload                   |   [matt-nelson-cTyVIvzQslE-unsplash.jpg] Starting parallel tasks (blob × 2, analyze, vectorize)…
2026-03-05 20:48:58 | INFO    | app.blob_storage             | upload_blob: originals/637b5132f59048dfb182ecfd293d4b8b.jpg  1338033 bytes  image/jpeg
2026-03-05 20:48:58 | INFO    | app.blob_storage             | upload_blob OK: originals/637b5132f59048dfb182ecfd293d4b8b.jpg
2026-03-05 20:48:58 | INFO    | app.blob_storage             | upload_blob: thumbnails/637b5132f59048dfb182ecfd293d4b8b.jpg  10748 bytes  image/jpeg
2026-03-05 20:48:58 | INFO    | app.blob_storage             | upload_blob OK: thumbnails/637b5132f59048dfb182ecfd293d4b8b.jpg
2026-03-05 20:48:58 | INFO    | app.vision                   | analyze_image — 1338033 bytes
2026-03-05 20:49:02 | INFO    | app.vision                   | vectorize_image — 1338033 bytes
2026-03-05 20:49:07 | INFO    | app.vision                   | vectorize_image OK (5382 ms) — 1024-d vector
2026-03-05 20:49:08 | INFO    | app.vision                   | analyze_image OK (9584 ms) — caption='a neon sign with tacos and burritos', 8 tags, 0 objects
2026-03-05 20:49:08 | INFO    | app.upload                   |   [matt-nelson-cTyVIvzQslE-unsplash.jpg] Blob upload  OK — original=https://movistar.blob.core.windows.net/originals/637b5132f59048dfb182ecfd293d4b8…
2026-03-05 20:49:08 | INFO    | app.upload                   |   [matt-nelson-cTyVIvzQslE-unsplash.jpg] Vision analysis OK — caption='a neon sign with tacos and burritos', tags=['neon', 'text', 'neon sign', 'font', 'graphics', 'lamp', 'night', 'sign'], objects=[]
2026-03-05 20:49:08 | INFO    | app.upload                   |   [matt-nelson-cTyVIvzQslE-unsplash.jpg] Image vector  OK — 1024-d
2026-03-05 20:49:08 | INFO    | app.upload                   |   [matt-nelson-cTyVIvzQslE-unsplash.jpg] Generating OpenAI text embedding for: 'a neon sign with tacos and burritos. Tags: neon, text, neon sign, font, graphics, lamp, night, sign'
2026-03-05 20:49:08 | INFO    | app.openai_embeddings        | embed_text — 'a neon sign with tacos and burritos. Tags: neon, text, neon sign, font, graphics, lamp, night, sign'
2026-03-05 20:49:08 | INFO    | app.openai_embeddings        | embed_text OK (341 ms) — 3072-d vector
2026-03-05 20:49:08 | INFO    | app.upload                   |   [matt-nelson-cTyVIvzQslE-unsplash.jpg] Text vector   OK — 3072-d
2026-03-05 20:49:09 | INFO    | app.upload                   |   [matt-nelson-cTyVIvzQslE-unsplash.jpg] ✓ Indexed OK (11388 ms total)
2026-03-05 20:49:09 | INFO    | app.upload                   |   [katie-moum-7XGtYefMXiQ-unsplash.jpg] id=bfd429339eba47a1b362915e2101e5b3  size=3771165 bytes  type=image/jpeg
2026-03-05 20:49:10 | INFO    | app.upload                   |   [katie-moum-7XGtYefMXiQ-unsplash.jpg] Thumbnail OK — 14293 bytes, 3840x5760
2026-03-05 20:49:10 | INFO    | app.upload                   |   [katie-moum-7XGtYefMXiQ-unsplash.jpg] Starting parallel tasks (blob × 2, analyze, vectorize)…
2026-03-05 20:49:10 | INFO    | app.blob_storage             | upload_blob: originals/bfd429339eba47a1b362915e2101e5b3.jpg  3771165 bytes  image/jpeg
2026-03-05 20:49:10 | INFO    | app.blob_storage             | upload_blob OK: originals/bfd429339eba47a1b362915e2101e5b3.jpg
2026-03-05 20:49:10 | INFO    | app.blob_storage             | upload_blob: thumbnails/bfd429339eba47a1b362915e2101e5b3.jpg  14293 bytes  image/jpeg
2026-03-05 20:49:10 | INFO    | app.blob_storage             | upload_blob OK: thumbnails/bfd429339eba47a1b362915e2101e5b3.jpg
2026-03-05 20:49:10 | INFO    | app.vision                   | analyze_image — 3771165 bytes
2026-03-05 20:49:14 | INFO    | app.vision                   | vectorize_image — 3771165 bytes
2026-03-05 20:49:19 | INFO    | app.vision                   | vectorize_image OK (4883 ms) — 1024-d vector
2026-03-05 20:49:20 | INFO    | app.vision                   | analyze_image OK (9787 ms) — caption='a sign on a concrete wall', 5 tags, 0 objects
2026-03-05 20:49:20 | INFO    | app.upload                   |   [katie-moum-7XGtYefMXiQ-unsplash.jpg] Blob upload  OK — original=https://movistar.blob.core.windows.net/originals/bfd429339eba47a1b362915e2101e5b…
2026-03-05 20:49:20 | INFO    | app.upload                   |   [katie-moum-7XGtYefMXiQ-unsplash.jpg] Vision analysis OK — caption='a sign on a concrete wall', tags=['text', 'handwriting', 'font', 'sign', 'outdoor'], objects=[]
2026-03-05 20:49:20 | INFO    | app.upload                   |   [katie-moum-7XGtYefMXiQ-unsplash.jpg] Image vector  OK — 1024-d
2026-03-05 20:49:20 | INFO    | app.upload                   |   [katie-moum-7XGtYefMXiQ-unsplash.jpg] Generating OpenAI text embedding for: 'a sign on a concrete wall. Tags: text, handwriting, font, sign, outdoor'
2026-03-05 20:49:20 | INFO    | app.openai_embeddings        | embed_text — 'a sign on a concrete wall. Tags: text, handwriting, font, sign, outdoor'
2026-03-05 20:49:20 | INFO    | app.openai_embeddings        | embed_text OK (317 ms) — 3072-d vector
2026-03-05 20:49:20 | INFO    | app.upload                   |   [katie-moum-7XGtYefMXiQ-unsplash.jpg] Text vector   OK — 3072-d
2026-03-05 20:49:21 | INFO    | app.upload                   |   [katie-moum-7XGtYefMXiQ-unsplash.jpg] ✓ Indexed OK (12088 ms total)
2026-03-05 20:49:21 | INFO    | app.upload                   |   [karly-santiago-79Ut1cRYoQ0-unsplash.jpg] id=a7d5e58180f7470e8fe37af9a01432cb  size=1407658 bytes  type=image/jpeg
